s/SAP.min.out:      -615.82     39.71
1/102.min.out:      -559.72     44.60
a/AGS.min.out:      -546.92     46.96
1/1AA.min.out:      -545.44     30.88
m/MMD.min.out:      -542.85     23.49
0/0NQ.min.out:      -510.23     22.88
a/AL7.min.out:      -509.38     62.63
b/B80.min.out:      -498.22     23.57
y/YAK.min.out:      -493.00     23.06
g/GNH.min.out:      -462.90     36.39
b/B42.min.out:      -455.49     23.52
b/B4D.min.out:      -454.05     28.89
a/AL4.min.out:      -446.67     43.35
j/J75.min.out:      -446.20     18.86
l/L24.min.out:      -443.63     21.41
t/TRU.min.out:      -443.61     30.99
b/B7D.min.out:      -443.44     31.16
w/WDL.min.out:      -443.37     22.61
d/D2R.min.out:      -439.78     21.98
h/HCZ.min.out:      -439.36     32.60
3/3BD.min.out:      -438.12     28.05
2/2XN.min.out:      -436.92     17.18
o/O7U.min.out:      -436.20     41.29
6/6AM.min.out:      -435.06     24.90
p/PSQ.min.out:      -430.75     24.92
a/AKM.min.out:      -428.70     29.05
d/D2Q.min.out:      -422.46     20.08
2/20M.min.out:      -419.41     20.60
7/77Z.min.out:      -418.56     18.99
c/CGP.min.out:      -416.79     22.78
c/CYZ.min.out:      -414.00     27.25
0/0N2.min.out:      -410.10     30.47
2/203.min.out:      -408.66     33.59
l/LZS.min.out:      -407.84     23.99
o/OA5.min.out:      -399.31     20.66
2/21V.min.out:      -397.05     26.66
x/X11.min.out:      -394.61     24.06
x/XWW.min.out:      -393.67     23.97
j/JZY.min.out:      -391.67     22.16
y/Y9Z.min.out:      -384.06     35.84
x/X66.min.out:      -383.87     22.21
d/D2J.min.out:      -383.46     27.09
b/B57.min.out:      -382.53     26.27
5/523.min.out:      -382.40     35.91
x/X67.min.out:      -379.65     23.25
j/JWS.min.out:      -378.11     21.84
j/JS7.min.out:      -375.71     21.72
3/3AW.min.out:      -372.85     20.86
h/HFZ.min.out:      -372.22     31.23
j/J71.min.out:      -371.74     21.61
0/0OV.min.out:      -370.37     21.90
t/T57.min.out:      -367.58     21.59
0/0OW.min.out:      -366.02     22.13
b/BZE.min.out:      -365.74     23.26
m/MMY.min.out:      -362.59     21.61
2/29H.min.out:      -362.23     29.62
u/UDH.min.out:      -361.92     33.70
1/1MS.min.out:      -361.54     23.23
o/O60.min.out:      -358.94     22.48
o/O59.min.out:      -358.75     23.26
2/29G.min.out:      -358.50     23.97
1/1CY.min.out:      -358.42     18.04
b/BW2.min.out:      -357.59     24.50
b/BZ1.min.out:      -357.49     39.40
1/13K.min.out:      -355.23     19.07
2/2RT.min.out:      -354.72     19.77
a/A56.min.out:      -353.78     23.12
s/SQ9.min.out:      -353.39     24.14
c/CPA.min.out:      -353.22     27.22
6/680.min.out:      -350.92     25.46
n/N34.min.out:      -348.75     23.88
2/2XJ.min.out:      -348.43     16.81
a/AVU.min.out:      -347.97     30.77
d/DWN.min.out:      -347.79     32.68
2/204.min.out:      -346.61     19.00
j/JHZ.min.out:      -345.93     33.17
0/0KO.min.out:      -345.10     19.15
i/INJ.min.out:      -344.17     20.38
b/BS5.min.out:      -343.84     23.81
c/CJ5.min.out:      -342.21     20.97
c/CDI.min.out:      -341.68     27.70
a/AX2.min.out:      -340.43     20.01
1/1MM.min.out:      -340.40     37.63
4/4SP.min.out:      -340.31     19.72
a/A94.min.out:      -339.72     16.85
2/2PA.min.out:      -339.22     17.50
j/JGZ.min.out:      -336.93     23.44
q/QAR.min.out:      -334.98     28.95
3/3E4.min.out:      -334.20     18.72
4/4AD.min.out:      -334.19     24.87
j/J45.min.out:      -334.10     21.79
0/0VY.min.out:      -333.80     41.51
t/THH.min.out:      -333.40     21.72
4/4HF.min.out:      -332.23     24.51
n/NZS.min.out:      -332.16     25.59
2/2XL.min.out:      -329.96     16.78
r/R15.min.out:      -329.32     24.48
1/1EG.min.out:      -329.11     26.58
l/L34.min.out:      -327.30     26.43
j/J74.min.out:      -326.39     20.08
i/I2C.min.out:      -325.23     25.13
n/NHR.min.out:      -324.30     23.53
d/DH1.min.out:      -322.37     19.93
1/1PD.min.out:      -321.38     22.54
b/BLO.min.out:      -320.30     27.82
3/3EL.min.out:      -320.04     18.54
1/14K.min.out:      -319.09     19.01
2/2Y7.min.out:      -313.98     17.04
1/18Z.min.out:      -313.82     20.31
2/2Y8.min.out:      -313.81     17.10
d/DEY.min.out:      -312.69     22.15
z/ZZS.min.out:      -310.67     19.85
t/THW.min.out:      -310.36     31.20
n/NVW.min.out:      -310.20     19.30
8/84T.min.out:      -309.27     23.25
l/LX0.min.out:      -309.05     20.77
2/2XM.min.out:      -308.68     16.29
8/888.min.out:      -308.49     21.23
j/J90.min.out:      -307.88     23.02
3/3QQ.min.out:      -306.93     19.40
3/37O.min.out:      -306.33     18.85
j/J43.min.out:      -305.24     26.01
a/AL9.min.out:      -304.82     34.83
d/DH3.min.out:      -304.66     19.96
2/2RC.min.out:      -303.92     21.03
9/9PP.min.out:      -303.74     44.12
p/PO1.min.out:      -303.14     22.19
t/TPD.min.out:      -301.72     40.06
w/WI3.min.out:      -300.75     25.18
z/ZZ3.min.out:      -300.73     25.14
l/LIA.min.out:      -300.49     18.74
a/AV1.min.out:      -300.48     36.74
j/JDR.min.out:      -300.04     25.50
c/C50.min.out:      -299.97     21.99
w/WZB.min.out:      -299.74     22.34
b/B2J.min.out:      -299.69     23.12
a/AL5.min.out:      -298.67     34.95
p/PJC.min.out:      -298.29     25.83
a/A1R.min.out:      -298.24     29.91
c/CA0.min.out:      -297.99     29.43
m/MMV.min.out:      -297.35     19.66
n/N35.min.out:      -296.84     36.01
n/NSS.min.out:      -296.78     24.85
v/VAR.min.out:      -296.07     22.21
a/AN2.min.out:      -294.92     34.98
2/2OQ.min.out:      -294.60     26.70
1/1QC.min.out:      -292.81     21.14
a/AOO.min.out:      -292.79     20.66
l/LYA.min.out:      -292.56     24.65
a/ADB.min.out:      -292.44     20.90
h/HBU.min.out:      -290.72     38.01
a/AL6.min.out:      -290.69     36.60
p/PNO.min.out:      -289.50     34.46
f/FEG.min.out:      -289.02     26.02
b/B54.min.out:      -286.32     25.69
v/V50.min.out:      -285.32     27.92
c/CK7.min.out:      -284.63     16.56
0/08Q.min.out:      -284.32     22.28
x/X01.min.out:      -283.62     18.83
0/0OX.min.out:      -282.47     24.65
6/6MU.min.out:      -282.35     15.70
e/EJ5.min.out:      -282.33     24.05
0/00A.min.out:      -281.50     23.68
t/TPE.min.out:      -280.99     33.84
r/RO6.min.out:      -280.82     21.24
r/RDD.min.out:      -280.72     25.06
m/MDS.min.out:      -280.67     21.20
t/TLO.min.out:      -280.23     33.07
w/WRB.min.out:      -279.65     21.38
c/CIE.min.out:      -279.20     37.77
3/3MS.min.out:      -277.84     35.09
v/VAA.min.out:      -277.78     21.11
n/NUP.min.out:      -277.70     26.62
1/1ZZ.min.out:      -277.27     22.14
p/PBK.min.out:      -277.20     22.16
b/BR8.min.out:      -276.17     30.59
w/WRA.min.out:      -276.17     21.66
i/ILA.min.out:      -275.92     21.14
a/AMD.min.out:      -275.47     27.85
i/IXH.min.out:      -274.30     20.42
3/321.min.out:      -274.02     25.89
l/LZL.min.out:      -272.77     21.60
x/X43.min.out:      -272.56     19.95
z/ZZ2.min.out:      -272.37     17.25
d/D1H.min.out:      -272.33     27.50
u/UPP.min.out:      -272.24     32.99
c/C4B.min.out:      -271.74     24.02
1/1TB.min.out:      -270.67     36.70
m/MON.min.out:      -270.59     18.50
m/MSJ.min.out:      -269.98     23.81
a/ABZ.min.out:      -268.15     21.30
k/KQQ.min.out:      -267.96     22.28
i/I7A.min.out:      -267.89     28.96
b/B2T.min.out:      -267.80     22.38
0/0J5.min.out:      -266.83     29.14
l/LY3.min.out:      -266.59     24.83
9/977.min.out:      -266.05     16.79
m/MST.min.out:      -265.86     24.04
k/KK3.min.out:      -265.75     18.21
b/BJA.min.out:      -265.36     19.30
c/CK2.min.out:      -265.28     17.10
7/7MC.min.out:      -264.92     22.52
9/980.min.out:      -264.60     21.96
3/37P.min.out:      -263.41     26.23
d/D9H.min.out:      -263.21     21.97
q/QSI.min.out:      -263.21     25.92
z/ZZ9.min.out:      -262.28     19.42
e/E65.min.out:      -261.57     21.59
d/DWH.min.out:      -261.45     21.94
x/XI2.min.out:      -261.10     26.95
a/ANW.min.out:      -260.80     20.61
t/TXA.min.out:      -260.00     28.95
n/NW1.min.out:      -259.52     26.62
c/CDM.min.out:      -259.26     30.68
1/1RT.min.out:      -257.09     35.12
w/WHA.min.out:      -256.99     19.91
b/B2X.min.out:      -256.60     23.45
1/1RE.min.out:      -255.01     19.93
n/NS3.min.out:      -254.72     19.76
e/E59.min.out:      -254.71     24.99
2/2OO.min.out:      -254.26     24.25
2/2CY.min.out:      -254.25     15.91
z/ZS4.min.out:      -252.98     24.26
2/20J.min.out:      -252.11     23.60
1/112.min.out:      -251.99     54.41
x/X64.min.out:      -251.62     19.77
0/0TZ.min.out:      -250.19     28.02
h/HDT.min.out:      -249.95     29.08
t/TP9.min.out:      -249.32     35.25
2/24L.min.out:      -249.04     19.34
o/OSP.min.out:      -248.84     28.62
q/Q26.min.out:      -248.02     19.98
a/AX3.min.out:      -248.01     18.77
l/LZK.min.out:      -247.85     21.62
r/RCA.min.out:      -247.80     25.80
t/TM2.min.out:      -247.69     23.18
s/STP.min.out:      -247.47     62.41
2/2UG.min.out:      -247.26     40.34
1/1NS.min.out:      -247.04     26.68
p/PSD.min.out:      -246.86     22.94
a/AL2.min.out:      -246.71     37.74
m/MQ1.min.out:      -246.47     17.75
0/0J4.min.out:      -246.18     29.99
1/1RZ.min.out:      -245.36     38.33
m/MYD.min.out:      -244.96     45.88
i/INQ.min.out:      -244.08     32.64
r/RYN.min.out:      -244.00     24.23
a/AL1.min.out:      -243.99     35.51
f/FU5.min.out:      -243.66     16.01
b/B39.min.out:      -243.53     22.70
1/1SM.min.out:      -243.42     36.40
x/XDK.min.out:      -243.42     15.07
5/5ZE.min.out:      -243.15     17.32
0/0S0.min.out:      -243.03     30.86
h/HP8.min.out:      -242.74     41.95
c/CK3.min.out:      -242.33     20.96
a/AVV.min.out:      -242.00     23.46
e/E1G.min.out:      -241.58     23.00
v/V13.min.out:      -241.57     26.84
a/AMO.min.out:      -241.39     27.88
n/NX2.min.out:      -241.21     28.56
2/2O5.min.out:      -241.06     18.75
i/IXN.min.out:      -240.94     36.62
2/2PD.min.out:      -240.86     19.79
i/INL.min.out:      -240.13     32.17
d/DD3.min.out:      -239.69     15.97
8/8C5.min.out:      -239.50     18.06
m/MOJ.min.out:      -239.30     17.83
5/5AZ.min.out:      -239.09     37.98
a/A45.min.out:      -238.31     32.80
h/HDU.min.out:      -237.71     24.81
0/0TA.min.out:      -237.35     25.04
b/B5D.min.out:      -237.23     18.32
a/AX5.min.out:      -237.02     22.38
l/LAQ.min.out:      -236.85     26.11
k/KK2.min.out:      -236.71     18.07
1/10O.min.out:      -236.44     20.83
e/E50.min.out:      -236.16     23.07
3/3RE.min.out:      -235.66     23.41
o/OA3.min.out:      -235.17     16.80
s/SRL.min.out:      -234.04     22.30
n/NHH.min.out:      -234.00     37.61
m/M24.min.out:      -232.32     26.10
a/ATZ.min.out:      -232.26     19.72
d/DRV.min.out:      -231.99     27.66
g/GJB.min.out:      -231.62     21.50
5/5YL.min.out:      -231.59     23.62
a/AZG.min.out:      -231.40     41.40
c/CEB.min.out:      -231.17     21.87
c/CET.min.out:      -231.05     21.98
y/YSA.min.out:      -230.80     24.36
l/LZJ.min.out:      -230.59     21.27
i/INI.min.out:      -229.33     21.12
z/ZZN.min.out:      -229.10     21.96
s/SD5.min.out:      -228.79     18.45
6/6GO.min.out:      -228.50     29.04
f/FUN.min.out:      -228.47     31.11
f/FI3.min.out:      -228.46     19.55
d/DXZ.min.out:      -228.38     23.59
a/AG5.min.out:      -228.36     23.23
u/UNP.min.out:      -227.93     40.73
a/A5A.min.out:      -227.63     26.15
o/ORC.min.out:      -227.17     27.52
0/0C8.min.out:      -226.89     18.55
1/16K.min.out:      -226.77     15.83
f/FD1.min.out:      -226.74     22.86
d/DSZ.min.out:      -226.62     43.59
a/AG4.min.out:      -226.00     28.31
1/1S1.min.out:      -225.60     26.50
5/553.min.out:      -225.54     22.62
d/DD1.min.out:      -225.54     16.43
b/BTX.min.out:      -225.29     22.55
0/0G8.min.out:      -224.93     43.39
0/0C0.min.out:      -224.92     17.85
z/Z25.min.out:      -224.81     29.06
p/PRX.min.out:      -224.39     20.25
w/WOE.min.out:      -224.26     16.06
b/BHY.min.out:      -223.71     20.58
i/IGA.min.out:      -223.22     36.54
b/B19.min.out:      -222.97     15.67
u/UAA.min.out:      -221.78     30.36
f/FBT.min.out:      -221.68     27.89
m/M33.min.out:      -221.57     32.52
6/65B.min.out:      -221.45     29.07
s/SSA.min.out:      -220.95     25.76
o/ORB.min.out:      -220.88     24.11
s/SH1.min.out:      -219.88     19.27
9/905.min.out:      -219.63     16.89
b/BV5.min.out:      -219.25     22.38
k/KAA.min.out:      -219.21     25.05
c/CK5.min.out:      -218.99     15.27
f/F38.min.out:      -218.96     21.85
i/IOT.min.out:      -218.69     27.56
g/GSO.min.out:      -218.68     19.65
g/G5A.min.out:      -218.29     27.57
2/2ZX.min.out:      -218.19     21.31
0/0J2.min.out:      -218.06     27.49
1/1UF.min.out:      -218.00     25.65
a/AX4.min.out:      -217.77     25.11
f/FRT.min.out:      -217.52     20.73
w/WSA.min.out:      -217.33     25.89
s/S30.min.out:      -217.15     24.07
l/LSS.min.out:      -217.00     24.91
b/B52.min.out:      -216.98     27.89
s/SPS.min.out:      -216.75     22.21
5/5AE.min.out:      -216.51     21.72
d/DD2.min.out:      -216.50     16.86
d/DDP.min.out:      -215.92     21.18
w/WWL.min.out:      -215.55     41.27
s/SAV.min.out:      -215.33     21.60
e/E90.min.out:      -215.31     22.84
c/CC7.min.out:      -215.19     19.99
u/UN4.min.out:      -214.05     25.27
p/PAJ.min.out:      -213.97     24.57
p/PR8.min.out:      -213.76     22.68
7/7PP.min.out:      -213.68     21.02
3/3RP.min.out:      -212.89     17.13
4/4MR.min.out:      -212.54     19.44
2/25U.min.out:      -212.34     18.51
j/JZX.min.out:      -212.28     21.86
k/KK1.min.out:      -212.05     18.92
k/KLT.min.out:      -212.00     24.06
4/4ID.min.out:      -211.59     21.76
d/DJZ.min.out:      -211.41     19.27
l/LMM.min.out:      -211.31     29.22
p/P5B.min.out:      -211.30     27.98
c/CXA.min.out:      -211.27     18.89
d/DCM.min.out:      -211.23     29.79
0/0HY.min.out:      -210.98     25.58
9/9MG.min.out:      -210.83     27.55
m/MXA.min.out:      -210.68     20.20
m/M44.min.out:      -210.66     19.80
b/B14.min.out:      -210.28     18.35
0/0P5.min.out:      -210.24     22.88
k/K0I.min.out:      -209.97     18.63
i/IL3.min.out:      -209.83     18.27
d/DDY.min.out:      -209.32     32.91
2/27D.min.out:      -208.93     19.59
b/B2L.min.out:      -208.62     18.75
b/B5P.min.out:      -208.60     42.24
m/MP5.min.out:      -208.51     41.26
y/YYY.min.out:      -208.31     42.53
2/2RW.min.out:      -208.11     45.55
0/03R.min.out:      -207.99     20.11
2/2SM.min.out:      -207.91     37.59
s/SGR.min.out:      -207.67     17.53
r/RAV.min.out:      -207.32     22.44
o/OBG.min.out:      -207.22     22.63
m/MPN.min.out:      -207.14     30.61
h/HQQ.min.out:      -206.83     19.27
b/BZ9.min.out:      -206.61     29.30
n/NJD.min.out:      -206.30     25.50
l/LIU.min.out:      -205.74     18.51
p/PSB.min.out:      -205.52     23.07
g/GSY.min.out:      -205.24     27.84
w/WAN.min.out:      -204.99     32.87
3/31F.min.out:      -204.73     25.87
o/OVE.min.out:      -204.47     26.64
0/0WC.min.out:      -204.19     20.66
1/1BS.min.out:      -203.65     16.44
h/HAM.min.out:      -203.64     24.72
9/93A.min.out:      -203.42     31.89
e/EEC.min.out:      -203.36     25.07
m/MBP.min.out:      -202.95     24.54
u/UWA.min.out:      -202.94     19.50
s/SGX.min.out:      -202.89     17.29
4/45P.min.out:      -202.48     25.30
c/C2P.min.out:      -202.12     31.67
2/2W5.min.out:      -202.05     15.09
m/MO8.min.out:      -201.97     20.43
m/MEF.min.out:      -201.46     24.69
d/DQU.min.out:      -201.45     20.96
7/7RA.min.out:      -201.43     32.99
v/VVQ.min.out:      -201.22     17.49
7/7L0.min.out:      -201.21     27.04
l/L06.min.out:      -201.19     27.60
d/DHJ.min.out:      -201.01     33.94
t/THF.min.out:      -200.93     27.21
3/3B8.min.out:      -200.86     18.47
1/1UX.min.out:      -200.39     18.75
1/1P6.min.out:      -199.71     22.49
l/LG3.min.out:      -199.67     18.92
y/YH5.min.out:      -199.59     24.05
1/1NM.min.out:      -199.43     21.57
1/1QO.min.out:      -199.35     12.68
h/HQP.min.out:      -199.29     23.22
n/NNG.min.out:      -199.17     22.66
r/R86.min.out:      -198.89     17.48
m/MAQ.min.out:      -198.84     19.95
1/1BK.min.out:      -198.70     20.86
q/Q11.min.out:      -198.61     18.01
8/8NX.min.out:      -198.35     32.95
z/ZZF.min.out:      -198.25     18.54
1/1NN.min.out:      -198.22     19.79
c/CMG.min.out:      -198.13     23.32
9/953.min.out:      -197.90     17.14
5/5AL.min.out:      -197.89     23.87
2/2NX.min.out:      -197.32     21.81
1/18V.min.out:      -196.93     19.65
z/ZHK.min.out:      -196.90     21.11
2/2XB.min.out:      -196.54     25.58
s/SXD.min.out:      -196.31     22.95
1/1VB.min.out:      -196.20     21.01
f/FL1.min.out:      -196.09     19.01
u/UWB.min.out:      -195.94     19.67
z/ZZO.min.out:      -195.94     22.15
q/QAQ.min.out:      -195.87     25.51
3/356.min.out:      -195.72     24.28
0/0RU.min.out:      -195.69     19.46
5/53S.min.out:      -195.40     16.45
9/994.min.out:      -195.37     17.39
h/H07.min.out:      -195.34     19.96
g/GAP.min.out:      -195.16     24.82
d/DI9.min.out:      -194.73     13.31
c/C1H.min.out:      -194.59     28.14
1/1NO.min.out:      -194.25     20.49
5/53T.min.out:      -194.20     16.63
v/VHA.min.out:      -194.03     17.14
n/N69.min.out:      -194.02     21.87
s/SDC.min.out:      -193.86     24.28
c/CDK.min.out:      -193.75     22.49
2/2K5.min.out:      -193.50     23.98
a/AZD.min.out:      -193.36     55.90
a/AAM.min.out:      -193.35     30.09
d/DKY.min.out:      -193.23     22.15
2/2GU.min.out:      -193.15     18.82
s/SLU.min.out:      -193.04     25.79
c/C2G.min.out:      -192.81     43.68
p/POF.min.out:      -192.51     19.76
0/06U.min.out:      -192.06     16.58
t/TSP.min.out:      -191.97     26.66
f/F03.min.out:      -191.93     23.31
y/YH6.min.out:      -191.93     24.00
i/I84.min.out:      -191.91     20.63
e/E2I.min.out:      -191.89     22.10
6/688.min.out:      -191.85     18.31
i/I7B.min.out:      -191.71     27.69
b/BRG.min.out:      -191.60     29.91
l/LQQ.min.out:      -191.49     21.92
2/2J6.min.out:      -191.02     12.41
z/ZZP.min.out:      -190.87     23.32
b/B2.min.out:      -190.60     18.72
5/53R.min.out:      -190.25     16.08
d/DLL.min.out:      -190.24     28.58
c/CK1.min.out:      -190.21     22.79
1/1RY.min.out:      -190.13     38.96
l/LZ2.min.out:      -189.70     24.62
b/BLK.min.out:      -189.25     23.80
0/0W7.min.out:      -189.14     20.25
3/354.min.out:      -189.06     32.52
5/52V.min.out:      -188.92     16.36
s/SMG.min.out:      -188.48     30.20
y/YH4.min.out:      -188.44     24.09
l/LIY.min.out:      -188.29     16.51
l/LGA.min.out:      -188.01     16.87
d/D2E.min.out:      -187.92     20.34
x/XFM.min.out:      -187.83     14.31
b/BBB.min.out:      -187.82     19.27
u/UMP.min.out:      -187.73     31.02
0/0WG.min.out:      -187.51     23.83
c/CK4.min.out:      -187.20     15.38
c/C62.min.out:      -187.19     30.37
b/BCZ.min.out:      -187.08     24.35
1/1J2.min.out:      -187.04     19.87
1/1A1.min.out:      -187.03     20.43
n/NRT.min.out:      -186.71     23.43
t/TMQ.min.out:      -186.67     18.03
m/MY6.min.out:      -186.33     28.40
l/L23.min.out:      -186.04     17.81
p/PD6.min.out:      -186.00     16.49
2/2DN.min.out:      -185.56     31.74
0/0SE.min.out:      -185.51     18.48
s/ST4.min.out:      -185.44     19.97
d/DX3.min.out:      -185.28     22.23
3/37T.min.out:      -185.24     28.84
b/BOW.min.out:      -185.23     20.76
1/1QZ.min.out:      -185.19     18.21
a/AM9.min.out:      -185.11     21.73
m/ML0.min.out:      -184.60     16.30
1/1U1.min.out:      -184.58     35.51
j/JLJ.min.out:      -184.51     19.04
s/SL3.min.out:      -184.41     31.48
1/1PM.min.out:      -184.16     18.43
c/C6B.min.out:      -184.13     33.11
m/MNO.min.out:      -183.90     32.92
1/1JD.min.out:      -183.88     21.90
1/10Q.min.out:      -183.52     22.09
p/PFD.min.out:      -183.36     17.54
2/2GP.min.out:      -183.13     27.43
r/RB1.min.out:      -182.88     21.45
1/160.min.out:      -182.79     25.44
c/CFV.min.out:      -182.54     31.07
c/C1B.min.out:      -182.40     25.34
7/7ME.min.out:      -182.37     20.31
t/T7Z.min.out:      -182.30     26.69
o/O48.min.out:      -182.27     20.18
1/1FB.min.out:      -181.94     21.29
c/C85.min.out:      -181.86     30.77
d/DXY.min.out:      -181.86     24.09
q/Q27.min.out:      -181.86     18.30
c/C2M.min.out:      -181.63     18.74
v/V15.min.out:      -181.31     19.96
p/P5A.min.out:      -181.27     23.93
e/EV0.min.out:      -180.89     23.30
2/2QB.min.out:      -180.87     23.10
t/THS.min.out:      -180.80     22.64
1/1N1.min.out:      -180.74     25.18
s/SFF.min.out:      -180.46     22.29
c/C5P.min.out:      -180.10     25.11
f/F1A.min.out:      -180.07     25.67
0/0VF.min.out:      -179.71     21.31
a/AVW.min.out:      -179.69     46.04
p/POI.min.out:      -179.65     19.51
f/FBV.min.out:      -179.61     27.09
t/TYA.min.out:      -179.61     22.46
d/D09.min.out:      -179.30     20.61
1/18H.min.out:      -179.24     16.23
6/6AP.min.out:      -179.18     30.81
f/F9J.min.out:      -179.16     21.70
o/OAW.min.out:      -179.11     29.62
m/MK3.min.out:      -179.10     20.42
0/06V.min.out:      -178.95     18.43
x/X04.min.out:      -178.84     22.23
f/FLW.min.out:      -178.76     19.05
v/VHC.min.out:      -178.74     17.48
f/FRV.min.out:      -178.68     21.55
q/Q19.min.out:      -178.67     16.88
n/NMF.min.out:      -178.59     20.72
z/ZON.min.out:      -178.50     31.28
t/T5P.min.out:      -178.36     27.26
6/6ME.min.out:      -178.24     20.72
f/FNR.min.out:      -178.22     28.07
q/QLZ.min.out:      -178.17     18.27
b/BPQ.min.out:      -177.84     23.94
n/N3B.min.out:      -177.82     18.34
q/Q20.min.out:      -177.78     17.21
