b/B5F.min_igb.out:      -1457.00     42.14
i/ITS.min_igb.out:      -1100.40     32.25
i/I4P.min_igb.out:      -1094.20     33.05
4/4IP.min_igb.out:      -1084.60     32.47
i/I0P.min_igb.out:      -1070.80     33.79
p/PPK.min_igb.out:      -1058.70     49.34
g/GVF.min_igb.out:      -1026.50     38.34
3/3PO.min_igb.out:      -947.93     56.07
s/STP.min_igb.out:      -856.81     43.62
2/2PN.min_igb.out:      -821.34     41.12
a/ATR.min_igb.out:      -818.62     40.89
1/1RZ.min_igb.out:      -804.37     38.64
i/I3P.min_igb.out:      -781.42     31.26
i/I3S.min_igb.out:      -781.11     31.00
i/I2P.min_igb.out:      -772.08     30.97
1/112.min_igb.out:      -755.79     37.31
5/523.min_igb.out:      -750.93     36.33
s/SAP.min_igb.out:      -746.08     47.71
1/1RY.min_igb.out:      -745.16     39.21
a/AGS.min_igb.out:      -730.23     50.02
p/PCP.min_igb.out:      -730.08     40.26
u/U3H.min_igb.out:      -724.26     47.40
p/PIS.min_igb.out:      -720.64     59.07
g/G2P.min_igb.out:      -718.06     41.28
p/PPV.min_igb.out:      -690.88     28.88
1/1TP.min_igb.out:      -687.65     32.44
d/DPO.min_igb.out:      -686.20     28.83
p/POP.min_igb.out:      -686.20     28.87
4/4MH.min_igb.out:      -682.48     27.15
p/PPS.min_igb.out:      -679.64     37.10
a/AX2.min_igb.out:      -662.24     25.54
p/PTP.min_igb.out:      -659.78     44.06
d/D9H.min_igb.out:      -656.35     31.60
b/BST.min_igb.out:      -655.90     21.98
t/THW.min_igb.out:      -653.40     31.31
m/MMD.min_igb.out:      -650.29     24.84
m/MDN.min_igb.out:      -649.34     37.82
x/X44.min_igb.out:      -647.99     30.24
1/102.min_igb.out:      -646.08     53.05
d/DWH.min_igb.out:      -645.66     31.11
a/ANK.min_igb.out:      -638.19     35.76
0/0G8.min_igb.out:      -633.54     44.52
p/PO3.min_igb.out:      -631.20     77.40
a/A0P.min_igb.out:      -630.77     36.26
a/AL4.min_igb.out:      -627.49     39.59
p/PSQ.min_igb.out:      -627.35     24.78
a/ANP.min_igb.out:      -624.22     37.89
i/I7B.min_igb.out:      -621.72     35.87
a/A2P.min_igb.out:      -612.19     35.24
g/GGH.min_igb.out:      -611.50     55.44
1/1AA.min_igb.out:      -611.12     32.34
3/3BD.min_igb.out:      -610.40     25.66
u/UNP.min_igb.out:      -608.33     41.80
6/6AM.min_igb.out:      -606.52     25.73
p/PON.min_igb.out:      -599.84     57.85
0/0M9.min_igb.out:      -599.18     55.64
g/GTN.min_igb.out:      -598.37     38.49
t/TP9.min_igb.out:      -595.51     35.70
b/BZU.min_igb.out:      -594.05     28.14
d/DP6.min_igb.out:      -592.28     40.70
0/036.min_igb.out:      -588.15     30.88
0/035.min_igb.out:      -587.98     30.96
a/AL7.min_igb.out:      -586.99     64.49
y/YAK.min_igb.out:      -585.64     23.84
g/GNH.min_igb.out:      -584.41     38.68
2/2Y0.min_igb.out:      -583.88     23.65
p/PO4.min_igb.out:      -583.64     44.32
i/IPS.min_igb.out:      -583.61     44.37
p/PI.min_igb.out:      -583.58     44.40
2/2HP.min_igb.out:      -583.55     44.45
2/27Z.min_igb.out:      -583.27     30.19
t/THP.min_igb.out:      -582.04     39.46
2/29G.min_igb.out:      -581.13     26.93
0/0F3.min_igb.out:      -578.66     28.59
1/1QC.min_igb.out:      -577.77     20.22
2/2XN.min_igb.out:      -577.25     19.96
u/U55.min_igb.out:      -575.69     33.62
7/7MC.min_igb.out:      -575.06     22.28
j/J75.min_igb.out:      -570.19     24.04
y/YYY.min_igb.out:      -567.24     42.49
i/I7C.min_igb.out:      -566.23     33.63
b/BLS.min_igb.out:      -563.18     20.35
d/DDY.min_igb.out:      -560.95     33.05
a/AZD.min_igb.out:      -559.92     56.50
s/SKP.min_igb.out:      -558.38     34.35
b/BZ1.min_igb.out:      -557.77     39.01
i/INJ.min_igb.out:      -557.12     20.83
