2/2D8.min.out-      -60048000.00     5183100000000.00
h/HSA.min.out-      -15980000.00     427730000000.00
y/Y09.min.out-      -15648000.00     322270000000.00
2/24H.min.out-      -1881300.00     4793800000.00
p/PTX.min.out-      -1846800.00     5178000000.00
t/TLP.min.out-      -1827700.00     4408400000.00
i/ILP.min.out-      -1342500.00     2249100000.00
n/NMA.min.out-      -964720.00     1236700000.00
j/J8Z.min.out-      -900040.00     998190000.00
s/S1P.min.out-      -858980.00     784510000.00
p/PLV.min.out-      -800080.00     847050000.00
t/TPZ.min.out-      -637020.00     576790000.00
d/DPJ.min.out-      -623920.00     797720000.00
j/JHZ.min.out-      -604840.00     344980000.00
1/102.min.out-      -590310.00     389810000.00
5/5YL.min.out-      -536810.00     327220000.00
a/AMM.min.out-      -525430.00     174180000.00
p/PAZ.min.out-      -503540.00     357360000.00
h/H4P.min.out-      -478950.00     305280000.00
h/H26.min.out-      -448050.00     297450000.00
f/F98.min.out-      -397680.00     270040000.00
n/N6R.min.out-      -397420.00     169410000.00
p/P00.min.out-      -366630.00     177980000.00
2/2B9.min.out-      -352640.00     224010000.00
d/DS0.min.out-      -345930.00     243620000.00
g/G2P.min.out-      -331800.00     134130000.00
s/SI1.min.out-      -316480.00     177330000.00
s/SAP.min.out-      -283640.00     86255000.00
5/5PA.min.out-      -222910.00     68417000.00
p/PM8.min.out-      -215780.00     42126000.00
t/TXZ.min.out-      -213990.00     60761000.00
p/PM5.min.out-      -196630.00     37386000.00
f/FLX.min.out-      -194540.00     37574000.00
p/PLK.min.out-      -110450.00     14600000.00
l/LY0.min.out-      -97082.00     13556000.00
a/AZD.min.out-      -78319.00     8207700.00
p/PLG.min.out-      -53695.00     4228900.00
p/PSR.min.out-      -35285.00     1418700.00
c/C5P.min.out-      -28235.00     1561700.00
d/DWN.min.out-      -21819.00     460110.00
f/F9F.min.out-      -20805.00     667930.00
2/2ER.min.out-      -17490.00     336010.00
g/GM2.min.out-      -13180.00     524910.00
2/202.min.out-      -10979.00     1187700.00
p/PLS.min.out-      -9283.40     120780.00
r/RP2.min.out-      -9082.90     154780.00
p/PMP.min.out-      -6315.80     64988.00
r/RP1.min.out-      -4881.00     43893.00
b/BLK.min.out-      -4610.00     22144.00
x/XP8.min.out-      -3695.20     17831.00
p/PGU.min.out-      -3370.00     17122.00
p/PP3.min.out-      -3361.20     17013.00
p/PPQ.min.out-      -3313.20     19021.00
1/1U4.min.out-      -2787.50     7341.30
1/1AA.min.out-      -2753.70     4697.30
7/7CH.min.out-      -2665.50     8780.30
3/33P.min.out-      -2604.60     9781.30
m/MYY.min.out-      -2557.20     5698.90
0/0N2.min.out-      -2278.10     3934.30
d/D5M.min.out-      -2072.70     6774.10
f/F6F.min.out-      -1876.00     5336.60
u/UBB.min.out-      -1845.00     5466.10
1/1PW.min.out-      -1496.80     2431.90
p/P3F.min.out-      -1381.30     2776.10
p/PLU.min.out-      -1326.70     4157.50
f/FII.min.out-      -1146.20     1746.40
p/PY4.min.out-      -1003.70     2075.60
t/THP.min.out-      -925.21     2102.10
2/21P.min.out-      -914.42     1255.60
d/D5X.min.out-      -851.69     2258.40
i/I1S.min.out-      -850.51     1365.40
p/PLZ.min.out-      -716.35     1344.90
g/GVF.min.out-      1071.90      0.91
b/B5F.min.out-      1230.00      0.29
m/ME8.min.out-      1307.00     255.31
6/6MN.min.out-      1323.60     247.00
b/BL5.min.out-      1352.70      1.59
l/LAD.min.out-      20725.00     626.06
2/2BO.min.out-      247860.00     427390.00
z/ZZ9.min.out-      469770.00     2778.80
c/C2G.min.out-      3276900.00     4977000.00
p/PIB.min.out-      1092200000.00     2474200000.00
