            --------------------------------------------------------
                             AMBER SQM VERSION 14
 
                                     By
              Ross C. Walker, Michael F. Crowley, Scott Brozell,
                         Tim Giese, Andreas W. Goetz,
                        Tai-Sung Lee and David A. Case
 
            --------------------------------------------------------
 

--------------------------------------------------------------------------------
  QM CALCULATION INFO
--------------------------------------------------------------------------------

| QMMM: Citation for AMBER QMMM Run:
| QMMM: R.C. Walker, M.F. Crowley and D.A. Case, J. COMP. CHEM. 29:1019, 2008

QMMM: SINGLET STATE CALCULATION
QMMM: RHF CALCULATION, NO. OF DOUBLY OCCUPIED LEVELS =109

| QMMM: *** Selected Hamiltonian *** 
| QMMM: AM1         

| QMMM: *** Parameter sets in use ***
| QMMM: C : M.J.S.DEWAR et al. JACS, 107, 3902, (1985)
| QMMM: N : M.J.S.DEWAR et al. JACS, 107, 3902, (1985)
| QMMM: O : M.J.S.DEWAR et al. JACS, 107, 3902, (1985)
| QMMM: H : M.J.S.DEWAR et al. JACS, 107, 3902, (1985)

| QMMM: *** SCF convergence criteria ***
| QMMM: Energy change                :  0.1D-09 kcal/mol
| QMMM: Error matrix |FP-PF|         :  0.1D+00 au
| QMMM: Density matrix change        :  0.1D-09
| QMMM: Maximum number of SCF cycles :     1000

| QMMM: *** Diagonalization Routine Information ***
| QMMM: Pseudo diagonalizations are allowed.
| QMMM: Auto diagonalization routine selection is disabled.
| QMMM: Using internal diagonalization routine (diag_routine=1).

  QMMM: QM Region Cartesian Coordinates (*=link atom) 
  QMMM: QM_NO.   MM_NO.  ATOM         X         Y         Z
  QMMM:     1        1      C        0.0000    0.0000    0.0000
  QMMM:     2        2      N        1.3480    0.0000    0.0000
  QMMM:     3        3      C        2.0810    0.0000    1.2680
  QMMM:     4        4      N       -0.6750    0.1190   -1.1610
  QMMM:     5        5      O       -0.6080   -0.1110    1.0480
  QMMM:     6        6      C        1.6670    1.2080    2.1120
  QMMM:     7        7      C        3.6000    0.0380    1.0010
  QMMM:     8        8      C        1.8010   -1.3020    2.0390
  QMMM:     9        9      C       -2.1390    0.1190   -1.1600
  QMMM:    10       10      C        0.0570    0.2460   -2.4240
  QMMM:    11       11      C        0.3210    0.9250    2.7830
  QMMM:    12       12      O        1.5470    2.3570    1.2720
  QMMM:    13       13      C        3.8850    0.6220   -0.3840
  QMMM:    14       14      O        4.2660    0.7980    2.0100
  QMMM:    15       15      C        4.0330   -1.4470    1.0620
  QMMM:    16       16      N        0.8830   -2.1540    1.2710
  QMMM:    17       17      C        3.1600   -2.0120    2.2120
  QMMM:    18       18      C        5.5200   -1.5650    1.4010
  QMMM:    19       19      O        3.7380   -2.1120   -0.1680
  QMMM:    20       20      N        3.7490   -1.6790    3.5120
  QMMM:    21       21      O        5.8960   -2.9670    1.4510
  QMMM:    22       22      C        3.4110   -2.4270    4.6430
  QMMM:    23       23      C        7.1820   -3.2460    1.7410
  QMMM:    24       24      C        3.9690   -2.1120    5.8720
  QMMM:    25       25      C        2.5130   -3.4810    4.5370
  QMMM:    26       26      O        7.9690   -2.3420    1.9450
  QMMM:    27       27      C        7.6360   -4.6460    1.8080
  QMMM:    28       28      C        3.6280   -2.8640    7.0010
  QMMM:    29       29      C        2.1740   -4.2250    5.6520
  QMMM:    30       30      C        7.5810   -5.3450    3.0170
  QMMM:    31       31      C        8.1190   -5.2880    0.6590
  QMMM:    32       32      C        4.2150   -2.5360    8.3110
  QMMM:    33       33      C        2.7280   -3.9260    6.8810
  QMMM:    34       34      C        7.0570   -4.6670    4.2580
  QMMM:    35       35      C        8.0070   -6.6540    3.0740
  QMMM:    36       36      O        8.1720   -4.6220   -0.5210
  QMMM:    37       37      C        8.5430   -6.6060    0.7350
  QMMM:    38       38      C        3.8450   -3.3480    9.5260
  QMMM:    39       39      O        4.9960   -1.6150    8.4130
  QMMM:    40       40      C        8.4890   -7.2820    1.9380
  QMMM:    41       41      H        1.6390    0.8140   -0.5040
  QMMM:    42       42      H        2.4170    1.3930    2.8720
  QMMM:    43       43      H        1.3740   -1.0750    3.0080
  QMMM:    44       44      H       -2.5000    0.7230   -0.3370
  QMMM:    45       45      H       -2.5000   -0.8970   -1.0480
  QMMM:    46       46      H       -2.5010    0.5290   -2.0950
  QMMM:    47       47      H        0.6630   -0.6380   -2.5810
  QMMM:    48       48      H       -0.6470    0.3510   -3.2400
  QMMM:    49       49      H        0.6970    1.1200   -2.3840
  QMMM:    50       50      H        0.0950   -0.1320    2.7060
  QMMM:    51       51      H        0.3710    1.2080    3.8270
  QMMM:    52       52      H       -0.4560    1.4970    2.2900
  QMMM:    53       53      H        1.6050    3.1380    1.7970
  QMMM:    54       54      H        3.4660    1.6190   -0.4490
  QMMM:    55       55      H        3.4360   -0.0090   -1.1410
  QMMM:    56       56      H        4.9560    0.6700   -0.5420
  QMMM:    57       57      H        4.7710    1.4840    1.6050
  QMMM:    58       58      H        0.9940   -3.1070    1.5560
  QMMM:    59       59      H       -0.0600   -1.8640    1.4380
  QMMM:    60       60      H        3.0440   -3.0840    2.1100
  QMMM:    61       61      H        6.1050   -1.0620    0.6410
  QMMM:    62       62      H        5.7080   -1.1060    2.3640
  QMMM:    63       63      H        4.5410   -2.4000   -0.5710
  QMMM:    64       64      H        4.7350   -1.5170    3.4480
  QMMM:    65       65      H        4.6020   -1.2390    5.9730
  QMMM:    66       66      H        2.0740   -3.7210    3.5760
  QMMM:    67       67      H        1.4750   -5.0470    5.5610
  QMMM:    68       68      H        2.4610   -4.5110    7.7520
  QMMM:    69       69      H        7.4320   -3.6520    4.3010
  QMMM:    70       70      H        5.9740   -4.6520    4.2300
  QMMM:    71       71      H        7.3880   -5.2120    5.1340
  QMMM:    72       72      H        7.9790   -7.1900    4.0150
  QMMM:    73       73      H        8.9630   -4.8550   -0.9780
  QMMM:    74       74      H        8.9200   -7.1050   -0.1500
  QMMM:    75       75      H        4.3710   -2.9630   10.3910
  QMMM:    76       76      H        2.7770   -3.2820    9.6930
  QMMM:    77       77      H        4.1220   -4.3830    9.3670
  QMMM:    78       78      H        8.8220   -8.3110    1.9920
  QMMM:    79       79      H        1.6390   -0.8140   -0.5040
  QMMM:    80       80      H       -0.6760    1.1140   -1.0580
  QMMM:    81       81      H        1.0890   -2.0710    0.2950
  QMMM:    82       82      H        3.3690   -0.7750    3.7130

--------------------------------------------------------------------------------
  RESULTS
--------------------------------------------------------------------------------


QMMM: ERROR!
QMMM: Unable to achieve self consistency to the tolerances specified
QMMM: No convergence in SCF after   1000 steps.
QMMM: E =  -0.1816E+07 DeltaE =   0.7008E+01 DeltaP =   0.9186E-01
QMMM: Smallest DeltaE =  -0.3431E-03 DeltaP =   0.9010E-01 Step =    676

